path: /Users/andreasimioni/Desktop/parallelComputing/mid_term_BIGRAMS_TRIGRAMS/TextBigrams-Trigrams/Java/sample/text50KB.txt
key: sx , value: 75
key: sy , value: 6
key: ta , value: 496
key: tc , value: 6
key: te , value: 727
key: 2d , value: 7
key: tf , value: 6
key: tg , value: 6
key: ti , value: 533
key: 2g , value: 6
key: pè , value: 6
key: to , value: 555
key: 40 , value: 6
key: tr , value: 152
key: ts , value: 30
key: tt , value: 264
key: tu , value: 68
key: tw , value: 19
key: tz , value: 6
key: ùa , value: 6
key: ùb , value: 6
key: ua , value: 60
key: ub , value: 19
key: ùf , value: 6
key: uc , value: 12
key: ud , value: 31
key: ue , value: 91
key: ug , value: 12
key: ui , value: 96
key: ul , value: 67
key: um , value: 36
key: un , value: 366
key: uo , value: 108
key: ùs , value: 6
key: up , value: 169
key: 3n , value: 7
key: 50 , value: 6
key: uq , value: 6
key: ur , value: 117
key: us , value: 24
key: ut , value: 88
key: uz , value: 6
key: va , value: 211
key: ve , value: 233
key: 4c , value: 14
key: 4d , value: 12
key: vi , value: 229
key: x1 , value: 7
key: vo , value: 196
key: x2 , value: 7
key: rì , value: 6
key: vr , value: 24
key: vv , value: 6
key: wa , value: 25
key: wd , value: 18
key: we , value: 6
key: 5d , value: 6
key: wi , value: 25
key: wl , value: 6
key: 1è , value: 7
key: 5m , value: 7
key: wo , value: 6
key: sì , value: 6
key: 75 , value: 7
key: 5s , value: 7
key: ww , value: 18
key: xc , value: 7
key: tà , value: 60
key: xe , value: 13
key: 6d , value: 6
key: xg , value: 6
key: xl , value: 18
key: xm , value: 6
key: xn , value: 6
key: xp , value: 6
key: 6p , value: 6
key: xs , value: 18
key: 84 , value: 7
key: xt , value: 36
key: 86 , value: 6
key: xv , value: 6
key: 6v , value: 6
key: xx , value: 6
key: ya , value: 6
key: 7a , value: 6
key: ye , value: 6
key: 7e , value: 6
key: yn , value: 6
key: yo , value: 12
key: 7n , value: 6
key: ys , value: 6
key: 94 , value: 6
key: 96 , value: 6
key: 97 , value: 6
key: 98 , value: 19
key: 99 , value: 36
key: za , value: 104
key: zb , value: 6
key: ze , value: 24
key: zi , value: 157
key: 8g , value: 6
key: 8i , value: 6
key: zo , value: 6
key: 8n , value: 6
key: 8r , value: 6
key: vò , value: 6
key: zz , value: 61
key: 9q , value: 6
key: xè , value: 14
key: 6è , value: 6
key: àc , value: 6
key: àd , value: 36
key: àm , value: 6
key: àp , value: 6
key: àt , value: 6
key: a1 , value: 18



