path: /Users/andreasimioni/Desktop/parallelComputing/mid_term_BIGRAMS_TRIGRAMS/TextBigrams-Trigrams/Java/sample/text50KB.txt
key: heh , value: 6
key: pup , value: 6
key: heg , value: 6
key: put , value: 26
key: hel , value: 6
key: lmo , value: 6
key: hep , value: 12
key: heq , value: 6
key: het , value: 6
key: hes , value: 25
key: heu , value: 6
key: lne , value: 6
key: lno , value: 13
key: lnu , value: 36
key: loa , value: 18
key: lod , value: 19
key: loc , value: 12
key: log , value: 36
key: lop , value: 6
key: lor , value: 19
key: los , value: 50
key: lou , value: 12
key: uag , value: 30
key: lpa , value: 6
key: ual , value: 6
key: ìla , value: 6
key: uan , value: 6
key: uas , value: 6
key: uar , value: 6
key: uav , value: 6
key: llì , value: 6
key: èdi , value: 7
key: lpr , value: 54
key: ùfl , value: 6
key: ubl , value: 19
key: hia , value: 30
key: daa , value: 13
key: hie , value: 6
key: dad , value: 6
key: 5du , value: 6
key: heè , value: 7
key: dag , value: 12
key: dai , value: 6
key: dal , value: 30
key: dan , value: 6
key: dam , value: 6
key: hit , value: 19
key: dap , value: 6
key: dc2 , value: 6
key: dar , value: 38
key: hiv , value: 6
key: ucc , value: 12
key: daq , value: 6
key: dat , value: 18
key: das , value: 6
key: dau , value: 12
key: lra , value: 6
key: ìne , value: 6
key: uda , value: 7
key: ude , value: 6
key: udi , value: 18
key: lsi , value: 32
key: dca , value: 12
key: lso , value: 6
key: lsu , value: 18
key: dco , value: 6
key: uee , value: 6
key: ued , value: 12
key: ueg , value: 6
key: lta , value: 12
key: lte , value: 24
key: uel , value: 12
key: lti , value: 37
key: dèd , value: 7
key: uep , value: 6
key: ues , value: 49
key: lto , value: 30
key: hlo , value: 6
key: ltr , value: 55
key: ync , value: 6
key: lud , value: 6
key: dea , value: 6
key: ded , value: 18
key: dec , value: 30
key: def , value: 6
key: lun , value: 12
key: lup , value: 139
key: deg , value: 30
key: èil , value: 7
key: dei , value: 31
key: del , value: 256
